Serial_No,order_id,customer_id,order_date,Month,Category,total_amount,status,region,payment_method,Revenue_Check(IF),Region_VLookup
2402,3675,2725,2023-08-01,2023-08,West,"1,106.47",Completed,West,Credit Card,Valid,West
2403,4113,9534,2023-08-01,2023-08,South,"1,530.22",Completed,South,Debit Card,Valid,South
2404,4738,4055,2023-08-01,2023-08,East,996.68,Completed,East,PayPal,Valid,East
2405,4944,4998,2023-08-01,2023-08,West,"3,497.84",Completed,West,Debit Card,Valid,West
2406,4985,1060,2023-08-01,2023-08,South,256.17,Completed,South,Debit Card,Valid,South
2407,163,5463,2023-08-02,2023-08,South,"2,486.02",Completed,South,Credit Card,Valid,South
2408,400,6946,2023-08-02,2023-08,South,154.28,Completed,South,Apple Pay,Valid,South
2409,500,115,2023-08-02,2023-08,East,562.73,Completed,East,Credit Card,Valid,East
2410,1369,1240,2023-08-02,2023-08,East,690.47,Completed,East,Debit Card,Valid,East
2411,1426,8566,2023-08-02,2023-08,Central,132.23,Completed,Central,PayPal,Valid,Central
2412,1873,3367,2023-08-02,2023-08,East,"1,763.16",Completed,East,Debit Card,Valid,East
2413,1881,2634,2023-08-02,2023-08,West,610.39,Completed,West,Debit Card,Valid,West
2414,2782,8084,2023-08-02,2023-08,South,580.00,Completed,South,PayPal,Valid,South
2415,2959,3886,2023-08-02,2023-08,Central,"1,411.31",Completed,Central,Credit Card,Valid,Central
2416,3385,8730,2023-08-02,2023-08,East,486.42,Completed,East,Apple Pay,Valid,East
2417,3496,2504,2023-08-02,2023-08,South,"4,703.22",Completed,South,Credit Card,Valid,South
2418,3723,3598,2023-08-02,2023-08,South,797.85,Completed,South,PayPal,Valid,South
2419,3874,3820,2023-08-02,2023-08,East,"3,985.34",Completed,East,Credit Card,Valid,East
2420,3972,3554,2023-08-02,2023-08,South,471.55,Completed,South,Apple Pay,Valid,South
2421,4022,8695,2023-08-02,2023-08,North,"2,321.33",Completed,North,Apple Pay,Valid,North
2422,119,6665,2023-08-03,2023-08,West,"2,465.02",Completed,West,PayPal,Valid,West
2423,151,6147,2023-08-03,2023-08,West,442.46,Completed,West,Debit Card,Valid,West
2424,287,4783,2023-08-03,2023-08,West,"2,054.57",Completed,West,Debit Card,Valid,West
2425,644,9804,2023-08-03,2023-08,Central,265.95,Completed,Central,Credit Card,Valid,Central
2426,812,4340,2023-08-03,2023-08,East,752.85,Completed,East,PayPal,Valid,East
2427,1265,7117,2023-08-03,2023-08,West,995.47,Completed,West,Credit Card,Valid,West
2428,1312,6708,2023-08-03,2023-08,South,"1,646.98",Completed,South,Apple Pay,Valid,South
2429,2618,6876,2023-08-03,2023-08,South,760.48,Completed,South,Debit Card,Valid,South
2430,2730,3125,2023-08-03,2023-08,South,"1,433.78",Completed,South,PayPal,Valid,South
2431,2843,9699,2023-08-03,2023-08,East,538.64,Completed,East,PayPal,Valid,East
2432,3107,2679,2023-08-03,2023-08,Central,667.02,Completed,Central,Debit Card,Valid,Central
2433,3120,1750,2023-08-03,2023-08,Central,646.02,Completed,Central,Debit Card,Valid,Central
2434,3302,516,2023-08-03,2023-08,North,"2,307.00",Completed,North,Credit Card,Valid,North
2435,3366,1648,2023-08-03,2023-08,South,"3,132.09",Completed,South,Apple Pay,Valid,South
2436,3462,5612,2023-08-03,2023-08,North,816.70,Completed,North,PayPal,Valid,North
2437,3789,8998,2023-08-03,2023-08,West,196.53,Completed,West,Credit Card,Valid,West
2438,4117,9865,2023-08-03,2023-08,Central,"1,538.58",Completed,Central,Apple Pay,Valid,Central
2439,4481,7097,2023-08-03,2023-08,South,"3,009.81",Completed,South,PayPal,Valid,South
2440,4681,1196,2023-08-03,2023-08,North,211.30,Completed,North,PayPal,Valid,North
2441,4695,3868,2023-08-03,2023-08,Central,"2,282.24",Completed,Central,PayPal,Valid,Central
2442,90,9529,2023-08-04,2023-08,South,"3,515.50",Cancelled,South,Apple Pay,Valid,South
2443,295,3291,2023-08-04,2023-08,Central,132.23,Completed,Central,Debit Card,Valid,Central
2444,484,8722,2023-08-04,2023-08,West,440.02,Completed,West,PayPal,Valid,West
2445,678,3815,2023-08-04,2023-08,South,621.67,Completed,South,Apple Pay,Valid,South
2446,848,5153,2023-08-04,2023-08,East,996.68,Cancelled,East,Credit Card,Valid,East
2447,998,9147,2023-08-04,2023-08,North,154.02,Completed,North,Apple Pay,Valid,North
2448,1228,374,2023-08-04,2023-08,South,"3,707.81",Completed,South,PayPal,Valid,South
2449,1239,15,2023-08-04,2023-08,South,764.02,Completed,South,Credit Card,Valid,South
2450,1280,8518,2023-08-04,2023-08,West,465.76,Completed,West,PayPal,Valid,West
2451,1437,8098,2023-08-04,2023-08,East,"2,844.64",Completed,East,PayPal,Valid,East
2452,1582,8691,2023-08-04,2023-08,Central,"4,085.13",Completed,Central,Debit Card,Valid,Central
2453,3446,3093,2023-08-04,2023-08,Central,"1,490.74",Completed,Central,Apple Pay,Valid,Central
2454,3451,3858,2023-08-04,2023-08,North,"29,817.33",Completed,North,Apple Pay,Valid,North
2455,3535,8442,2023-08-04,2023-08,North,902.21,Completed,North,Apple Pay,Valid,North
2456,3536,9977,2023-08-04,2023-08,West,"3,100.64",Completed,West,Credit Card,Valid,West
2457,4360,6910,2023-08-04,2023-08,South,189.69,Completed,South,Credit Card,Valid,South
2458,4602,8387,2023-08-04,2023-08,North,768.45,Completed,North,PayPal,Valid,North
2459,4917,1392,2023-08-04,2023-08,North,315.29,Cancelled,North,Credit Card,Valid,North
2460,358,3460,2023-08-05,2023-08,Central,240.57,Completed,Central,PayPal,Valid,Central
2461,1703,2600,2023-08-05,2023-08,Central,339.07,Completed,Central,Credit Card,Valid,Central
2462,1833,3385,2023-08-05,2023-08,North,"1,590.84",Completed,North,Debit Card,Valid,North
2463,2526,3316,2023-08-05,2023-08,East,315.29,Completed,East,Debit Card,Valid,East
2464,2639,2385,2023-08-05,2023-08,West,578.97,Completed,West,Apple Pay,Valid,West
2465,2833,2988,2023-08-05,2023-08,Central,648.17,Completed,Central,Apple Pay,Valid,Central
2466,3278,253,2023-08-05,2023-08,East,276.75,Completed,East,Credit Card,Valid,East
2467,3538,1392,2023-08-05,2023-08,North,509.98,Completed,North,Credit Card,Valid,North
2468,3754,9342,2023-08-05,2023-08,South,"3,478.58",Completed,South,Apple Pay,Valid,South
2469,3967,2397,2023-08-05,2023-08,West,"2,854.53",Completed,West,Credit Card,Valid,West
2470,4055,7218,2023-08-05,2023-08,East,"1,090.92",Completed,East,Debit Card,Valid,East
2471,4108,7707,2023-08-05,2023-08,Central,691.55,Completed,Central,Credit Card,Valid,Central
2472,4437,326,2023-08-05,2023-08,East,833.52,Completed,East,PayPal,Valid,East
2473,4485,4745,2023-08-05,2023-08,Central,"5,236.23",Completed,Central,Apple Pay,Valid,Central
2474,4517,1709,2023-08-05,2023-08,West,295.79,Cancelled,West,Apple Pay,Valid,West
2475,4717,8560,2023-08-05,2023-08,South,"2,934.73",Completed,South,PayPal,Valid,South
2476,777,2917,2023-08-06,2023-08,East,"3,358.82",Completed,East,PayPal,Valid,East
2477,874,1249,2023-08-06,2023-08,North,142.43,Completed,North,Apple Pay,Valid,North
2478,1717,4622,2023-08-06,2023-08,Central,140.76,Completed,Central,Debit Card,Valid,Central
2479,2472,9331,2023-08-06,2023-08,North,413.05,Completed,North,Credit Card,Valid,North
2480,2851,2934,2023-08-06,2023-08,West,"1,567.77",Completed,West,PayPal,Valid,West
2481,2987,1160,2023-08-06,2023-08,Central,193.60,Completed,Central,Debit Card,Valid,Central
2482,757,2570,2023-08-07,2023-08,North,"2,610.60",Completed,North,Credit Card,Valid,North
2483,951,2276,2023-08-07,2023-08,South,"2,779.26",Completed,South,PayPal,Valid,South
2484,1238,5508,2023-08-07,2023-08,Central,"3,703.14",Completed,Central,Credit Card,Valid,Central
2485,1250,9933,2023-08-07,2023-08,East,344.28,Completed,East,Credit Card,Valid,East
2486,1478,7099,2023-08-07,2023-08,West,"1,311.79",Completed,West,Debit Card,Valid,West
2487,1604,5751,2023-08-07,2023-08,Central,"1,596.15",Completed,Central,Apple Pay,Valid,Central
2488,1962,2574,2023-08-07,2023-08,East,"2,572.70",Completed,East,Apple Pay,Valid,East
2489,3176,6588,2023-08-07,2023-08,South,"2,257.82",Completed,South,Debit Card,Valid,South
2490,3506,1864,2023-08-07,2023-08,Central,366.31,Completed,Central,PayPal,Valid,Central
2491,3594,1944,2023-08-07,2023-08,North,235.02,Completed,North,Debit Card,Valid,North
2492,3921,9349,2023-08-07,2023-08,West,935.74,Completed,West,Apple Pay,Valid,West
2493,4256,1759,2023-08-07,2023-08,West,"1,995.72",Completed,West,Debit Card,Valid,West
2494,4336,5872,2023-08-07,2023-08,West,"1,996.26",Completed,West,Debit Card,Valid,West
2495,4577,7424,2023-08-07,2023-08,East,"1,118.12",Completed,East,PayPal,Valid,East
2496,4797,9796,2023-08-07,2023-08,South,278.93,Completed,South,PayPal,Valid,South
2497,4922,5635,2023-08-07,2023-08,West,"1,056.21",Completed,West,Apple Pay,Valid,West
2498,4,4722,2023-08-08,2023-08,North,"1,936.86",Completed,North,Credit Card,Valid,North
2499,127,1300,2023-08-08,2023-08,Central,"1,277.68",Completed,Central,Apple Pay,Valid,Central
2500,253,598,2023-08-08,2023-08,North,652.69,Completed,North,Apple Pay,Valid,North
2501,613,1899,2023-08-08,2023-08,Central,"1,989.51",Completed,Central,Debit Card,Valid,Central
2502,1041,8521,2023-08-08,2023-08,West,"1,212.08",Completed,West,Debit Card,Valid,West
2503,1492,7822,2023-08-08,2023-08,Central,641.40,Completed,Central,Credit Card,Valid,Central
2504,2263,9589,2023-08-08,2023-08,North,"4,571.57",Completed,North,PayPal,Valid,North
2505,2325,7349,2023-08-08,2023-08,West,714.00,Completed,West,Credit Card,Valid,West
2506,2848,4190,2023-08-08,2023-08,West,230.74,Completed,West,PayPal,Valid,West
2507,3204,4511,2023-08-08,2023-08,Central,131.89,Completed,Central,Apple Pay,Valid,Central
2508,3311,4321,2023-08-08,2023-08,South,"1,249.64",Completed,South,Debit Card,Valid,South
2509,3356,6733,2023-08-08,2023-08,East,716.89,Completed,East,Debit Card,Valid,East
2510,4302,6036,2023-08-08,2023-08,East,"1,502.76",Completed,East,PayPal,Valid,East
2511,4322,1985,2023-08-08,2023-08,Unknown,"2,014.32",Completed,Unknown,Apple Pay,Valid,Unknown
2512,4529,5399,2023-08-08,2023-08,Unknown,375.78,Completed,Unknown,PayPal,Valid,Unknown
2513,4735,9467,2023-08-08,2023-08,South,"1,366.64",Completed,South,Apple Pay,Valid,South
2514,4813,4499,2023-08-08,2023-08,South,"1,821.67",Completed,South,Credit Card,Valid,South
2515,475,3609,2023-08-09,2023-08,North,"2,187.43",Completed,North,Debit Card,Valid,North
2516,608,8271,2023-08-09,2023-08,North,"1,660.81",Completed,North,Debit Card,Valid,North
2517,1127,6655,2023-08-09,2023-08,North,290.79,Completed,North,Debit Card,Valid,North
2518,2264,5818,2023-08-09,2023-08,North,844.42,Completed,North,PayPal,Valid,North
2519,2550,8881,2023-08-09,2023-08,South,"2,933.83",Completed,South,Credit Card,Valid,South
2520,2656,5078,2023-08-09,2023-08,Central,"1,507.90",Completed,Central,Apple Pay,Valid,Central
2521,3973,7454,2023-08-09,2023-08,West,"3,256.47",Completed,West,Apple Pay,Valid,West
2522,184,9292,2023-08-10,2023-08,Central,88.32,Completed,Central,Credit Card,Valid,Central
2523,992,800,2023-08-10,2023-08,Central,"2,343.54",Completed,Central,PayPal,Valid,Central
2524,1103,2373,2023-08-10,2023-08,West,572.72,Completed,West,Credit Card,Valid,West
2525,1109,9005,2023-08-10,2023-08,Central,"2,668.72",Cancelled,Central,Apple Pay,Valid,Central
2526,1452,253,2023-08-10,2023-08,East,393.48,Completed,East,Credit Card,Valid,East
2527,1690,8781,2023-08-10,2023-08,Central,"1,033.01",Completed,Central,Credit Card,Valid,Central
2528,3548,3115,2023-08-10,2023-08,Central,196.53,Completed,Central,Credit Card,Valid,Central
2529,3632,8656,2023-08-10,2023-08,East,"2,490.74",Completed,East,PayPal,Valid,East
2530,3640,5399,2023-08-10,2023-08,West,608.58,Completed,West,Credit Card,Valid,West
2531,4419,8656,2023-08-10,2023-08,East,"1,380.73",Completed,East,PayPal,Valid,East
2532,4459,3193,2023-08-10,2023-08,North,"1,490.74",Completed,North,Apple Pay,Valid,North
2533,4995,8556,2023-08-10,2023-08,North,651.52,Completed,North,Apple Pay,Valid,North
2534,71,7710,2023-08-11,2023-08,West,"8,984.90",Completed,West,Apple Pay,Valid,West
2535,132,4722,2023-08-11,2023-08,North,925.77,Completed,North,Credit Card,Valid,North
2536,201,731,2023-08-11,2023-08,East,442.46,Completed,East,Apple Pay,Valid,East
2537,497,6006,2023-08-11,2023-08,Central,"3,032.72",Completed,Central,PayPal,Valid,Central
2538,593,5668,2023-08-11,2023-08,Central,497.22,Completed,Central,Debit Card,Valid,Central
2539,693,7377,2023-08-11,2023-08,Central,142.43,Completed,Central,Apple Pay,Valid,Central
2540,869,7638,2023-08-11,2023-08,East,"1,811.89",Completed,East,Credit Card,Valid,East
2541,1227,4901,2023-08-11,2023-08,South,462.84,Completed,South,PayPal,Valid,South
2542,1477,8982,2023-08-11,2023-08,Unknown,"1,476.06",Completed,Unknown,Credit Card,Valid,Unknown
2543,1853,2375,2023-08-11,2023-08,North,"1,384.18",Completed,North,Debit Card,Valid,North
2544,1972,2265,2023-08-11,2023-08,North,447.91,Cancelled,North,Apple Pay,Valid,North
2545,2379,6283,2023-08-11,2023-08,West,450.59,Completed,West,Credit Card,Valid,West
2546,3221,4138,2023-08-11,2023-08,South,435.69,Completed,South,Debit Card,Valid,South
2547,3622,1752,2023-08-11,2023-08,South,140.76,Completed,South,PayPal,Valid,South
2548,4085,9203,2023-08-11,2023-08,South,"2,456.26",Returned,South,Credit Card,Valid,South
2549,4487,7439,2023-08-11,2023-08,East,932.03,Completed,East,Apple Pay,Valid,East
2550,4709,8890,2023-08-11,2023-08,Unknown,"1,128.91",Returned,Unknown,Debit Card,Valid,Unknown
2551,4989,223,2023-08-11,2023-08,East,"1,993.79",Cancelled,East,Credit Card,Valid,East
2552,20,4057,2023-08-12,2023-08,East,973.32,Completed,East,Debit Card,Valid,East
2553,880,9635,2023-08-12,2023-08,North,290.79,Completed,North,Credit Card,Valid,North
2554,2005,1435,2023-08-12,2023-08,East,"1,523.80",Completed,East,PayPal,Valid,East
2555,2017,8789,2023-08-12,2023-08,East,141.33,Completed,East,Debit Card,Valid,East
2556,2159,1180,2023-08-12,2023-08,Central,750.85,Completed,Central,Apple Pay,Valid,Central
2557,2238,8956,2023-08-12,2023-08,South,196.53,Completed,South,Credit Card,Valid,South
2558,2688,5867,2023-08-12,2023-08,North,"2,481.22",Completed,North,Debit Card,Valid,North
2559,2719,6621,2023-08-12,2023-08,West,"2,846.89",Completed,West,Apple Pay,Valid,West
2560,3172,7374,2023-08-12,2023-08,West,"1,146.95",Completed,West,Debit Card,Valid,West
2561,3192,9543,2023-08-12,2023-08,West,"2,647.59",Completed,West,Debit Card,Valid,West
2562,3327,2107,2023-08-12,2023-08,East,318.74,Completed,East,PayPal,Valid,East
2563,3430,2924,2023-08-12,2023-08,South,"3,123.85",Completed,South,Credit Card,Valid,South
2564,4323,5964,2023-08-12,2023-08,Central,"1,153.50",Completed,Central,PayPal,Valid,Central
2565,4553,5389,2023-08-12,2023-08,West,222.58,Completed,West,Debit Card,Valid,West
2566,4841,9374,2023-08-12,2023-08,North,"1,390.98",Completed,North,Credit Card,Valid,North
2567,315,1875,2023-08-13,2023-08,Central,263.39,Completed,Central,Debit Card,Valid,Central
2568,428,1457,2023-08-13,2023-08,East,457.08,Completed,East,PayPal,Valid,East
2569,2022,3030,2023-08-13,2023-08,South,899.54,Completed,South,PayPal,Valid,South
2570,2179,4169,2023-08-13,2023-08,West,"1,378.17",Completed,West,PayPal,Valid,West
2571,2185,5208,2023-08-13,2023-08,North,"2,867.88",Completed,North,Apple Pay,Valid,North
2572,2977,1934,2023-08-13,2023-08,East,"1,916.76",Completed,East,Apple Pay,Valid,East
2573,3199,3633,2023-08-13,2023-08,West,759.30,Completed,West,Apple Pay,Valid,West
2574,4704,6588,2023-08-13,2023-08,South,"1,196.20",Completed,South,PayPal,Valid,South
2575,4844,8865,2023-08-13,2023-08,East,985.96,Completed,East,Debit Card,Valid,East
2576,617,7166,2023-08-14,2023-08,Central,"1,340.98",Completed,Central,Credit Card,Valid,Central
2577,980,9235,2023-08-14,2023-08,East,"2,608.86",Completed,East,Debit Card,Valid,East
2578,1621,8890,2023-08-14,2023-08,East,96.07,Completed,East,Credit Card,Valid,East
2579,2051,7903,2023-08-14,2023-08,West,985.59,Completed,West,Apple Pay,Valid,West
2580,2306,4358,2023-08-14,2023-08,West,228.45,Cancelled,West,Credit Card,Valid,West
2581,2489,9005,2023-08-14,2023-08,Central,558.62,Completed,Central,Apple Pay,Valid,Central
2582,3016,333,2023-08-14,2023-08,South,623.01,Completed,South,Credit Card,Valid,South
2583,4396,1103,2023-08-14,2023-08,North,494.16,Completed,North,PayPal,Valid,North
2584,4764,1814,2023-08-14,2023-08,East,208.24,Completed,East,Apple Pay,Valid,East
2585,143,8362,2023-08-15,2023-08,West,788.31,Completed,West,Credit Card,Valid,West
2586,816,9519,2023-08-15,2023-08,North,"2,020.44",Completed,North,Apple Pay,Valid,North
2587,901,5558,2023-08-15,2023-08,West,"4,123.83",Completed,West,Apple Pay,Valid,West
2588,1453,4486,2023-08-15,2023-08,Central,"3,687.45",Completed,Central,Apple Pay,Valid,Central
2589,2204,9100,2023-08-15,2023-08,North,"3,572.74",Returned,North,Credit Card,Valid,North
2590,2401,3287,2023-08-15,2023-08,North,395.52,Completed,North,Apple Pay,Valid,North
2591,2644,4279,2023-08-15,2023-08,Central,"1,146.95",Completed,Central,PayPal,Valid,Central
2592,2779,9956,2023-08-15,2023-08,West,100.33,Completed,West,Apple Pay,Valid,West
2593,4288,4247,2023-08-15,2023-08,South,"1,326.72",Completed,South,Debit Card,Valid,South
2594,4866,7882,2023-08-15,2023-08,North,159.37,Completed,North,PayPal,Valid,North
2595,114,1765,2023-08-16,2023-08,South,593.62,Completed,South,Credit Card,Valid,South
2596,136,1566,2023-08-16,2023-08,East,661.44,Completed,East,PayPal,Valid,East
2597,1343,5375,2023-08-16,2023-08,East,759.97,Completed,East,Debit Card,Valid,East
2598,1429,5582,2023-08-16,2023-08,North,"1,272.70",Completed,North,Credit Card,Valid,North
2599,1458,306,2023-08-16,2023-08,Central,772.14,Completed,Central,PayPal,Valid,Central
2600,1556,6944,2023-08-16,2023-08,South,"3,238.72",Completed,South,PayPal,Valid,South
2601,2029,5936,2023-08-16,2023-08,South,395.17,Completed,South,Debit Card,Valid,South
2602,3035,7200,2023-08-16,2023-08,South,366.31,Completed,South,Credit Card,Valid,South
2603,3515,5517,2023-08-16,2023-08,South,"1,600.75",Completed,South,PayPal,Valid,South
2604,4689,2285,2023-08-16,2023-08,East,878.41,Completed,East,PayPal,Valid,East
2605,1134,4677,2023-08-17,2023-08,East,"1,302.24",Completed,East,Apple Pay,Valid,East
2606,1719,5023,2023-08-17,2023-08,South,"1,435.99",Completed,South,Debit Card,Valid,South
2607,2253,7084,2023-08-17,2023-08,South,"1,261.24",Completed,South,Credit Card,Valid,South
2608,2690,9637,2023-08-17,2023-08,West,300.98,Completed,West,Credit Card,Valid,West
2609,2791,4048,2023-08-17,2023-08,West,"1,848.21",Returned,West,Apple Pay,Valid,West
2610,3589,61,2023-08-17,2023-08,North,534.33,Completed,North,Apple Pay,Valid,North
2611,4128,3606,2023-08-17,2023-08,West,"1,382.04",Completed,West,Apple Pay,Valid,West
2612,4214,1908,2023-08-17,2023-08,Central,"1,362.91",Completed,Central,PayPal,Valid,Central
2613,4371,5118,2023-08-17,2023-08,South,"1,717.93",Completed,South,Debit Card,Valid,South
2614,4395,8269,2023-08-17,2023-08,Central,680.22,Completed,Central,Debit Card,Valid,Central
2615,4560,1934,2023-08-17,2023-08,East,394.17,Completed,East,Debit Card,Valid,East
2616,552,4432,2023-08-18,2023-08,North,132.23,Completed,North,Credit Card,Valid,North
2617,675,7811,2023-08-18,2023-08,North,"1,621.29",Completed,North,Credit Card,Valid,North
2618,1218,3811,2023-08-18,2023-08,West,"1,280.27",Completed,West,PayPal,Valid,West
2619,1275,7810,2023-08-18,2023-08,Central,"2,193.84",Returned,Central,Debit Card,Valid,Central
2620,1380,3500,2023-08-18,2023-08,West,"2,071.53",Completed,West,Credit Card,Valid,West
2621,1677,1941,2023-08-18,2023-08,North,226.51,Completed,North,Apple Pay,Valid,North
2622,1902,514,2023-08-18,2023-08,West,500.88,Completed,West,PayPal,Valid,West
2623,2163,8675,2023-08-18,2023-08,South,"1,472.40",Completed,South,PayPal,Valid,South
2624,2195,9661,2023-08-18,2023-08,East,"7,289.22",Completed,East,Apple Pay,Valid,East
2625,2256,1285,2023-08-18,2023-08,Central,"2,881.07",Completed,Central,Apple Pay,Valid,Central
2626,2385,251,2023-08-18,2023-08,West,"1,099.89",Completed,West,Debit Card,Valid,West
2627,2702,2797,2023-08-18,2023-08,West,949.57,Completed,West,PayPal,Valid,West
2628,2996,5158,2023-08-18,2023-08,West,"1,165.56",Completed,West,Credit Card,Valid,West
2629,3689,6047,2023-08-18,2023-08,East,619.65,Completed,East,Apple Pay,Valid,East
2630,3960,1988,2023-08-18,2023-08,North,665.60,Completed,North,PayPal,Valid,North
2631,4524,668,2023-08-18,2023-08,South,"1,472.77",Completed,South,PayPal,Valid,South
2632,4847,1295,2023-08-18,2023-08,West,628.59,Completed,West,PayPal,Valid,West
2633,715,5053,2023-08-19,2023-08,South,315.29,Completed,South,PayPal,Valid,South
2634,1028,2150,2023-08-19,2023-08,South,"5,129.03",Completed,South,Credit Card,Valid,South
2635,1495,811,2023-08-19,2023-08,Central,899.20,Completed,Central,Debit Card,Valid,Central
2636,1600,8683,2023-08-19,2023-08,North,"2,138.03",Completed,North,Credit Card,Valid,North
2637,1715,950,2023-08-19,2023-08,West,"1,241.21",Completed,West,Credit Card,Valid,West
2638,1909,155,2023-08-19,2023-08,Central,508.62,Completed,Central,Credit Card,Valid,Central
2639,2014,9138,2023-08-19,2023-08,West,771.02,Completed,West,Credit Card,Valid,West
2640,2158,2278,2023-08-19,2023-08,West,"2,063.72",Completed,West,Apple Pay,Valid,West
2641,2574,7320,2023-08-19,2023-08,North,"2,193.14",Completed,North,Apple Pay,Valid,North
2642,3155,741,2023-08-19,2023-08,Central,"1,276.20",Completed,Central,Debit Card,Valid,Central
2643,3602,3425,2023-08-19,2023-08,South,"1,992.71",Completed,South,PayPal,Valid,South
2644,4209,9300,2023-08-19,2023-08,East,652.72,Completed,East,Debit Card,Valid,East
2645,4832,7206,2023-08-19,2023-08,South,440.02,Completed,South,Debit Card,Valid,South
2646,323,6608,2023-08-20,2023-08,South,"3,127.97",Completed,South,Credit Card,Valid,South
2647,839,8036,2023-08-20,2023-08,South,492.68,Completed,South,Credit Card,Valid,South
2648,939,4511,2023-08-20,2023-08,Central,"2,864.27",Completed,Central,Credit Card,Valid,Central
2649,1042,2679,2023-08-20,2023-08,Central,618.93,Completed,Central,Apple Pay,Valid,Central
2650,1288,2113,2023-08-20,2023-08,East,"2,586.81",Completed,East,PayPal,Valid,East
2651,1289,1840,2023-08-20,2023-08,South,"5,140.50",Completed,South,Credit Card,Valid,South
2652,1529,2285,2023-08-20,2023-08,East,"3,658.24",Completed,East,Apple Pay,Valid,East
2653,1642,3886,2023-08-20,2023-08,Unknown,"3,753.92",Completed,Unknown,Apple Pay,Valid,Unknown
2654,2658,1202,2023-08-20,2023-08,West,228.45,Completed,West,Debit Card,Valid,West
2655,3360,3573,2023-08-20,2023-08,Central,"3,457.61",Completed,Central,Apple Pay,Valid,Central
2656,4219,5676,2023-08-20,2023-08,North,"1,201.22",Completed,North,PayPal,Valid,North
2657,110,4358,2023-08-21,2023-08,West,"2,003.91",Completed,West,Credit Card,Valid,West
2658,182,1682,2023-08-21,2023-08,West,377.58,Completed,West,Debit Card,Valid,West
2659,1256,1088,2023-08-21,2023-08,North,"1,393.73",Completed,North,Apple Pay,Valid,North
2660,1446,546,2023-08-21,2023-08,East,496.71,Completed,East,Credit Card,Valid,East
2661,1483,8027,2023-08-21,2023-08,South,360.81,Completed,South,Apple Pay,Valid,South
2662,1735,7430,2023-08-21,2023-08,South,"2,369.13",Completed,South,Apple Pay,Valid,South
2663,1746,1027,2023-08-21,2023-08,South,196.53,Completed,South,Apple Pay,Valid,South
2664,1976,2754,2023-08-21,2023-08,South,198.89,Completed,South,PayPal,Valid,South
2665,2041,8989,2023-08-21,2023-08,West,798.93,Completed,West,Credit Card,Valid,West
2666,2265,2877,2023-08-21,2023-08,South,422.21,Completed,South,PayPal,Valid,South
2667,2345,9201,2023-08-21,2023-08,West,"1,515.29",Completed,West,PayPal,Valid,West
2668,2818,1060,2023-08-21,2023-08,South,273.77,Completed,South,Credit Card,Valid,South
2669,2910,2821,2023-08-21,2023-08,Central,"2,391.24",Completed,Central,Apple Pay,Valid,Central
2670,3168,6448,2023-08-21,2023-08,West,545.46,Cancelled,West,Credit Card,Valid,West
2671,4857,8043,2023-08-21,2023-08,North,579.60,Completed,North,Apple Pay,Valid,North
2672,415,7148,2023-08-22,2023-08,South,255.79,Completed,South,Apple Pay,Valid,South
2673,1968,9956,2023-08-22,2023-08,West,"1,388.80",Completed,West,Apple Pay,Valid,West
2674,2040,7030,2023-08-22,2023-08,East,"2,462.65",Completed,East,Debit Card,Valid,East
2675,4960,2292,2023-08-22,2023-08,West,996.68,Completed,West,Debit Card,Valid,West
2676,1023,1328,2023-08-23,2023-08,East,623.01,Completed,East,Apple Pay,Valid,East
2677,1808,5946,2023-08-23,2023-08,West,260.61,Completed,West,Apple Pay,Valid,West
2678,1951,6193,2023-08-23,2023-08,West,200.91,Completed,West,Credit Card,Valid,West
2679,2364,1425,2023-08-23,2023-08,East,"1,278.19",Completed,East,Apple Pay,Valid,East
2680,3402,5654,2023-08-23,2023-08,Central,"2,731.92",Completed,Central,Credit Card,Valid,Central
2681,3570,1127,2023-08-23,2023-08,South,300.98,Completed,South,Apple Pay,Valid,South
2682,6,1460,2023-08-24,2023-08,West,"1,125.06",Completed,West,Debit Card,Valid,West
2683,63,2661,2023-08-24,2023-08,West,766.48,Completed,West,PayPal,Valid,West
2684,267,3571,2023-08-24,2023-08,North,"1,787.62",Completed,North,Credit Card,Valid,North
2685,520,3159,2023-08-24,2023-08,Central,"1,355.77",Cancelled,Central,Debit Card,Valid,Central
2686,1539,6450,2023-08-24,2023-08,South,989.04,Completed,South,Debit Card,Valid,South
2687,1860,6215,2023-08-24,2023-08,South,"3,119.03",Completed,South,Credit Card,Valid,South
2688,2069,15,2023-08-24,2023-08,South,193.60,Completed,South,Credit Card,Valid,South
2689,2170,1256,2023-08-24,2023-08,South,"1,147.34",Completed,South,Credit Card,Valid,South
2690,2275,6086,2023-08-24,2023-08,Central,596.10,Returned,Central,Credit Card,Valid,Central
2691,2504,4644,2023-08-24,2023-08,Central,759.97,Completed,Central,Apple Pay,Valid,Central
2692,2572,3264,2023-08-24,2023-08,South,"1,875.00",Completed,South,Credit Card,Valid,South
2693,2814,3267,2023-08-24,2023-08,Unknown,"1,933.65",Completed,Unknown,Apple Pay,Valid,Unknown
2694,3004,9759,2023-08-24,2023-08,West,"2,016.68",Completed,West,Debit Card,Valid,West
2695,3051,1265,2023-08-24,2023-08,Central,"3,547.14",Completed,Central,Debit Card,Valid,Central
2696,3431,5992,2023-08-24,2023-08,Central,"3,653.84",Completed,Central,PayPal,Valid,Central
2697,4059,846,2023-08-24,2023-08,West,"2,675.33",Completed,West,Credit Card,Valid,West
